ID,Count
18288,411.71599695221306
18289,328.5709054437374
18290,278.0721883026339
18291,229.7611148047049
18292,193.3906246701895
18293,173.1165091677266
18294,186.1472560857659
18295,215.88164995152124
18296,248.6011896581303
18297,321.2470549861536
18298,455.9737106564344
18299,505.5066453196148
18300,510.8623481517343
18301,451.81791938779537
18302,483.1034184453672
18303,477.00142915303445
18304,464.82671670406364
18305,475.6551869110808
18306,487.3616411889372
18307,517.1399342582347
18308,496.9536171628554
18309,463.8536176922163
18310,465.53642049465816
18311,454.5323534734735
18312,392.34629503254763
18313,313.1128699410303
18314,264.98992907675245
18315,218.95171138234116
18316,184.29231714352267
18317,164.9720231512139
18318,177.38972203259328
18319,205.72522357887328
18320,236.9054309890517
18321,306.13357932886845
18322,434.52184839215613
18323,481.7244432416435
18324,486.82818023275513
18325,430.56157160123905
18326,460.3752046258195
18327,454.56029116873333
18328,442.9583535277369
18329,453.2773846026615
18330,464.43309387285046
18331,492.81042932889386
18332,473.57380315611107
18333,442.0310351946518
18334,443.6346684022416
18335,433.14830168826427
18336,377.9190913463601
18337,301.59920660687993
18338,255.24582360160952
18339,210.90050514553872
18340,177.51559252322645
18341,158.90573678465714
18342,170.86681692554214
18343,198.16037655078384
18344,228.19403763446542
18345,294.876555724777
18346,418.5437818417066
18347,464.0106614339526
18348,468.92672581527086
18349,414.7291307917221
18350,443.4464686257612
18351,437.84537887983316
18352,426.67006312776573
18353,436.6096468495564
18354,447.3551427650058
18355,474.6889979999306
18356,456.1597334807268
18357,425.7768437797934
18358,427.32150881763926
18359,417.22074265711717
18360,262.62639333326035
18361,209.58960178792404
18362,177.3773582780761
18363,146.5605741726681
18364,123.36047818781532
18365,110.42797648312256
18366,118.74006076174328
18367,137.70710765018453
18368,158.57832656876474
18369,204.91784639045127
18370,290.8576105153917
18371,322.4537983684301
18372,325.870107010738
18373,288.20670435578677
18374,308.16317396577097
18375,304.2708223159284
18376,296.50478736948
18377,303.4120780670422
18378,310.8794193617041
18379,329.8744687800005
18380,316.9979721350174
18381,295.88406462436086
18382,296.95749493546856
18383,289.93819411848665
18384,261.6735740415598
18385,208.8292021441991
18386,176.73382597070523
18387,146.0288464178829
18388,122.91292132972904
18389,110.02733926992724
18390,118.30926696697065
18391,137.20750063389013
18392,158.00299791697694
18393,204.174396066299
18394,289.80236721360626
18395,321.283922805399
18396,324.68783694028724
18397,287.1610786499227
18398,307.0451453723018
18399,303.16691533337195
18400,295.4290558792002
18401,302.31128664372784
18402,309.751536118893
18403,328.6776707213445
18404,315.84789053260613
18405,294.81058514157667
18406,295.8801210036317
18407,288.8862864969767
18408,410.1412322202177
18409,327.31416080014117
18410,277.0085952473984
18411,228.88230586102333
18412,192.65092852652833
18413,172.45435910510682
18414,185.43526496564527
18415,215.05592831052297
18416,247.65031966837097
18417,320.0183231996929
18418,454.22966543211885
18419,503.57314251007745
18420,508.90836041570026
18421,450.0897695709254
18422,481.2556053146998
18423,475.1769554058344
18424,463.04880978430975
